name,category,vendor,price,product_url,is_sold_out,scraped_at
1in your order,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Produce Box - Small,6-8 items$25.00,https://farmtopeople.com/product/seasonal-produce-box-small-0302,False,2025-08-16T14:39:48.772606
,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Produce Box - Medium,8-10 items$35.00,https://farmtopeople.com/product/seasonal-produce-box-medium-0303,False,2025-08-16T14:39:48.804283
,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Produce Box - Large,9-11 items$45.00,https://farmtopeople.com/product/seasonal-produce-box-large-0304,False,2025-08-16T14:39:48.822671
,dairy-eggs,Farm to PeopleFarm to PeopleCooking Essentials,$4.29,https://farmtopeople.com/product/cooking-essentials-0343,False,2025-08-16T14:39:48.839639
,dairy-eggs,Farm to PeopleFarm to PeopleLocal Mushrooms,$14.99,https://farmtopeople.com/product/local-mushrooms-0344,False,2025-08-16T14:39:48.856641
1in your order,dairy-eggs,Farm to PeopleFarm to PeopleSeasonal Fruit Medley,$10.95,https://farmtopeople.com/product/seasonal-fruit-medley-0346,False,2025-08-16T14:39:48.873019
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Local Yellow Peaches,2 pieces$2.99,https://farmtopeople.com/product/yellow-peaches-4762,False,2025-08-16T14:39:48.890182
1in your box,dairy-eggs,Finger Foods FarmFinger Foods FarmOrganic Heirloom Tomatoes,1.0 Lbs$6.99,https://farmtopeople.com/product/mixed-heirloom-tomatoes-4227,False,2025-08-16T14:39:48.906105
,dairy-eggs,Halal PasturesHalal PasturesOrganic Jimmy Nardello Peppers,8 oz$5.99,https://farmtopeople.com/product/add-veg-5627,False,2025-08-16T14:39:48.922758
,dairy-eggs,Jersey FreshJersey FreshLocal Blueberries,1 pint$5.99,https://farmtopeople.com/product/add-fru-5529,False,2025-08-16T14:39:48.940646
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Mini Love Watermelon,1 piece$6.99,https://farmtopeople.com/product/add-fru-5629,False,2025-08-16T14:39:48.956396
,dairy-eggs,Eagle Road FarmEagle Road FarmOrganically Grown Black Beauty Eggplant,2 pieces$3.99,https://farmtopeople.com/product/add-veg-5628,False,2025-08-16T14:39:48.972436
,dairy-eggs,Reeves FarmReeves FarmBi-color Sweet Corn,3 pieces$2.99,https://farmtopeople.com/product/organic-sweet-corn-4029,False,2025-08-16T14:39:48.988405
1in your box,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Sungold Cherry Tomatoes,1 pint$5.99,https://farmtopeople.com/product/sungold-cherry-tomatoes-4770,False,2025-08-16T14:39:49.008581
,dairy-eggs,Halal PasturesHalal PasturesOrganic Green Giant Heirloom Tomatoes,2 pieces (~1 lb)$6.99,https://farmtopeople.com/product/add-veg-5632,False,2025-08-16T14:39:49.023669
,dairy-eggs,Oishii BerriesOishii BerriesKoyo Strawberries,8-11 ct$9.99,https://farmtopeople.com/product/fall-strawberries-1494,False,2025-08-16T14:39:49.039336
,dairy-eggs,Jersey FreshJersey FreshLocal Blueberries,1 pint$5.99,https://farmtopeople.com/product/add-fru-5529,False,2025-08-16T14:39:49.054522
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Local Yellow Peaches,2 pieces$2.99,https://farmtopeople.com/product/yellow-peaches-4762,False,2025-08-16T14:39:49.070911
1in your box,dairy-eggs,Weaver's OrchardWeaver's OrchardWhite Peaches,2 pieces$3.49,https://farmtopeople.com/product/white-peaches-4126,False,2025-08-16T14:39:49.101843
,dairy-eggs,Weaver's OrchardWeaver's OrchardRed Plums,1 pint$5.99,https://farmtopeople.com/product/red-plums-4079,False,2025-08-16T14:39:49.118368
1in your box,dairy-eggs,Hurd OrchardsHurd OrchardsWhite Donut Peaches,1 pint$5.99,https://farmtopeople.com/product/saturn-donut-peaches-4088,False,2025-08-16T14:39:49.134027
